0,0 149,0
0,1 149,1
0,2 149,2
0,3 137,3
147,3 149,3
0,4 137,4
147,4 149,4
0,5 137,5
147,5 149,5
0,6 137,6
147,6 149,6
0,7 137,7
147,7 149,7
0,8 137,8
147,8 149,8
0,9 65,9
96,9 137,9
141,9 149,9
0,10 65,10
96,10 137,10
141,10 149,10
0,11 65,11
96,11 137,11
141,11 149,11
0,12 65,12
69,12 92,12
96,12 104,12
129,12 137,12
141,12 149,12
0,13 65,13
69,13 92,13
96,13 104,13
129,13 137,13
141,13 149,13
0,14 65,14
69,14 92,14
96,14 104,14
129,14 137,14
141,14 149,14
0,15 65,15
69,15 92,15
96,15 104,15
108,15 125,15
129,15 137,15
141,15 149,15
0,16 65,16
69,16 92,16
96,16 104,16
108,16 125,16
129,16 137,16
141,16 149,16
0,17 65,17
69,17 92,17
96,17 104,17
108,17 125,17
129,17 137,17
141,17 149,17
0,18 23,18
57,18 65,18
69,18 92,18
96,18 104,18
108,18 125,18
129,18 137,18
141,18 149,18
0,19 23,19
57,19 65,19
69,19 92,19
96,19 104,19
108,19 125,19
129,19 137,19
141,19 149,19
0,20 23,20
57,20 65,20
69,20 92,20
96,20 104,20
108,20 125,20
129,20 137,20
141,20 149,20
0,21 23,21
27,21 53,21
57,21 65,21
69,21 92,21
96,21 104,21
108,21 125,21
129,21 137,21
141,21 149,21
0,22 23,22
27,22 53,22
57,22 65,22
69,22 92,22
96,22 104,22
108,22 125,22
129,22 137,22
141,22 149,22
0,23 23,23
27,23 53,23
57,23 65,23
69,23 92,23
96,23 104,23
108,23 125,23
129,23 137,23
141,23 149,23
0,24 23,24
27,24 53,24
57,24 65,24
69,24 92,24
96,24 104,24
108,24 125,24
129,24 137,24
141,24 149,24
0,25 23,25
27,25 53,25
57,25 65,25
69,25 92,25
96,25 104,25
108,25 125,25
129,25 137,25
141,25 149,25
0,26 23,26
27,26 53,26
57,26 65,26
69,26 92,26
96,26 104,26
108,26 125,26
129,26 137,26
141,26 149,26
