22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
46,3
22,4
31,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
46,4
22,5
31,5
35,5
42,5
46,5
8,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,6
22,6
31,6
35,6
42,6
46,6
8,7
18,7
22,7
31,7
35,7
42,7
46,7
8,8
18,8
22,8
31,8
35,8
42,8
46,8
8,9
9,9
10,9
11,9
12,9
18,9
22,9
23,9
24,9
25,9
26,9
31,9
35,9
42,9
46,9
12,10
18,10
26,10
31,10
35,10
42,10
46,10
4,11
5,11
6,11
7,11
8,11
12,11
18,11
26,11
31,11
35,11
42,11
46,11
4,12
8,12
12,12
18,12
26,12
31,12
35,12
42,12
43,12
44,12
45,12
46,12
4,13
8,13
12,13
18,13
26,13
31,13
35,13
4,14
8,14
12,14
18,14
19,14
20,14
21,14
26,14
31,14
32,14
33,14
34,14
35,14
36,14
37,14
38,14
39,14
4,15
8,15
12,15
21,15
26,15
35,15
39,15
4,16
8,16
9,16
10,16
11,16
12,16
21,16
26,16
35,16
39,16
4,17
21,17
26,17
27,17
35,17
39,17
4,18
21,18
27,18
35,18
39,18
4,19
5,19
6,19
7,19
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
21,19
27,19
35,19
36,19
37,19
38,19
39,19
40,19
41,19
42,19
43,19
44,19
45,19
46,19
47,19
17,20
21,20
27,20
39,20
47,20
17,21
21,21
27,21
39,21
47,21
17,22
21,22
27,22
39,22
47,22
2,23
3,23
4,23
5,23
6,23
7,23
8,23
9,23
10,23
17,23
21,23
27,23
32,23
33,23
34,23
35,23
36,23
37,23
38,23
39,23
40,23
41,23
42,23
43,23
44,23
47,23
2,24
10,24
17,24
21,24
27,24
32,24
39,24
44,24
47,24
2,25
10,25
17,25
21,25
27,25
32,25
39,25
44,25
47,25
2,26
10,26
17,26
21,26
27,26
32,26
39,26
44,26
47,26
2,27
10,27
17,27
21,27
27,27
32,27
39,27
44,27
47,27
2,28
10,28
17,28
21,28
27,28
32,28
39,28
44,28
47,28
2,29
3,29
4,29
5,29
6,29
10,29
17,29
21,29
27,29
32,29
39,29
44,29
47,29
6,30
10,30
17,30
21,30
27,30
32,30
39,30
44,30
47,30
6,31
10,31
11,31
12,31
13,31
14,31
15,31
16,31
17,31
21,31
22,31
23,31
24,31
25,31
26,31
27,31
32,31
39,31
44,31
47,31
6,32
32,32
33,32
34,32
35,32
36,32
37,32
38,32
39,32
44,32
47,32
6,33
44,33
47,33
6,34
44,34
45,34
46,34
47,34
6,35
6,36
7,36
8,36
9,36
10,36
11,36
12,36
13,36
14,36
15,36
16,36
17,36
18,36
18,37
18,38
18,39
18,40
3,41
4,41
5,41
6,41
7,41
8,41
9,41
10,41
11,41
12,41
13,41
18,41
3,42
13,42
18,42
3,43
13,43
18,43
3,44
13,44
18,44
3,45
13,45
18,45
3,46
13,46
14,46
15,46
16,46
17,46
18,46
3,47
3,48
0,49
1,49
2,49
4,49
5,49
6,49
7,49
8,49
9,49
